UTC Date & Time,CP Fuel Cons. Limit
2021-08-18,36
2021-08-19,36
2021-08-20,36
2021-08-21,36
2021-08-22,36
2021-08-23,36
2021-08-24,36
2021-08-25,36
2021-08-25,36
2021-09-09,36
2021-09-09,36
2021-09-11,36
2021-09-12,36
2021-09-13,36
2021-09-14,36
2021-09-15,36
2021-09-16,36
2021-09-17,36
2021-09-18,36
2021-09-19,36
2021-09-20,36
2021-09-21,36
2021-09-22,36
2021-09-22,36
2021-10-05,40
2021-10-06,40
2021-10-07,40
2021-10-08,40
2021-10-09,40
2021-10-10,40
2021-10-11,40
2021-10-12,40
2021-10-13,40
2021-10-27,36
2021-10-28,36
2021-10-29,36
2021-10-30,36
2021-10-31,36
2021-11-01,36
2021-11-02,36
2021-11-03,36
2021-11-15,36
2021-11-15,36
2021-11-16,36
2021-11-17,36
2021-11-18,36
2021-11-19,36
2021-11-20,36
2021-11-21,36
2021-11-22,36
2021-11-23,36
2021-11-24,36
2021-11-25,36
2021-11-26,36
2021-11-27,36
2021-11-28,36
2021-11-28,36
2021-12-13,36
2021-12-14,36
2021-12-15,36
2021-12-16,36
2021-12-17,36
2021-12-18,36
2021-12-19,36
2021-12-19,36
2022-01-04,36
2022-01-05,36
2022-01-06,36
2022-01-07,36
2022-01-08,36
2022-01-09,36
2022-01-10,36
2022-01-11,36
2022-01-11,36
2022-02-02,36
2022-02-03,36
2022-02-04,36
2022-02-05,36
2022-02-06,36
2022-02-07,36
2022-02-08,36
2022-02-09,36
2022-02-09,36
2022-03-02,36
2022-03-03,36
2022-03-04,36
2022-03-06,36
2022-03-07,36
2022-03-08,36
2022-03-09,36
2022-03-10,36
2022-03-11,36
2022-03-12,36
2022-03-13,36
2022-03-13,36
2022-03-15,36
2022-03-16,36
2022-03-17,36
2022-03-18,36
2022-03-19,36
2022-03-20,36
2022-03-21,36
2022-03-22,36
2022-03-23,36
2022-03-24,36
2022-03-25,36
2022-03-26,36
2022-03-27,36
2022-03-27,36
2022-05-28,36
2022-05-29,36
2022-05-30,36
2022-05-31,36
2022-06-01,36
2022-06-02,36
2022-06-03,36
2022-06-04,36
2022-06-05,36
2022-06-06,36
2022-06-21,36
2022-06-22,36
2022-06-23,36
2022-06-24,36
2022-06-25,36
2022-06-26,36
2022-06-27,36
2022-06-28,36
2022-06-29,36
2022-06-29,36
